Not in Core,Source,List,Name,Flavor,Category,Frequency,Tier,Tags,Action,Range,Range Details,Requirement,Trigger,Attack,Defense,Hit,Miss,Effect,Special,Boost,Key Ability,Secondary Ability,Tradition,Sources,Details,Maintain Action,Maintain Text
,Discipline,Born to Run,Somatic Reflex Arc,Weeks practicing in front of a mirror have finally paid off.,Utility,Daily,6,"Martial, Weapon",Free,Self,,,You start your first turn of the encounter.,,,,,"You gain a +2 power bonus to attack rolls and a +4 power bonus to damage rolls until the end of your first turn or until you hit, whichever comes last.",,,,,,,,,
,Discipline,Born to Run,Mad Dash,Papers fly off shelves and bystanders are blown down as you race past them all.,Utility,Encounter,10,Martial,Swift,Self,,,,,,,,Double your speed until the end of your next turn.,,,,,,,,,
,Discipline,Born to Run,Abnormally Fast,You know there’s danger and jump into action.,Utility,Daily,10,Martial,No,Self,,,You roll initiative.,,,,,Gain a standard action or two move actions and take them immediately.,,,,,,,,,
,Discipline,Born to Run,Instant Recovery,You stumble but your instincts take over and you recover to prevent something catastrophic.,Utility,Daily,10,Martial,No,Self,,,You make an Athletics or Acrobatics check and dislike the result.,,,,,Either add +20 to the roll or gain a move action.,,,,,,,,,
,Discipline,Born to Run,Focus Everything,Eyes on the target. Think of nothing else.,Utility,At-Will,16,Martial,Move,Self,,,,,,,,Gain a +3 power bonus to your next Acrobatics or Athletics check.,,,,,,,,,
,Discipline,Born to Run,Loose Joints,"You wriggle your way free and do so without knives, broken bones, or untying any knots.",Utility,Daily,16,Martial,Free,Self,,,,,,,,"Gain a +10 power bonus to escape from restraints or grapple. If escaping a grapple, you cannot be grappled by the same creature until after the end of your next turn.","If you don’t escape, you recover the use of this power, though it cannot be used again this round.",,,,,,,,
,Discipline,Born to Run,Where They Don’t Expect You,You feint and slip under your opponent’s arm to position yourself behind them.,Utility,Daily,16,Martial,Counter,Near,"burst 5, the triggering enemy",,One enemy in range hits you with a melee or ranged attack.,,,,,Take no damage. Shift to any unoccupied square within 2 squares of the target. The target grants you combat advantage until the end of your next turn.,,,,,,,,,
,Discipline,Born to Run,I Can Hear Bells Ringing,A blast occurs nearby. You narrowly escape its effects.,Utility,Encounter,22,Martial,Counter,Self,,,You are targeted by an area effect.,,,,,Shift to the nearest unoccupied square outside the area. Gain a +5 power bonus to AC and Reflex defense until the end of your next turn.,,,,,,,,,
,Discipline,Born to Run,Moment of Truth,"You slide like water with the speed of a cheetah, effortlessly avoiding any attack, never losing an inch of momentum in your run.",Utility,Daily,22,Martial,Free,Self,,,,,,,,"Until the end of your next turn, you gain a +10 power bonus to all Athletics checks to jump, all your movement is treated as a shift, you ignore difficult terrain, your speed is not reduced by crawling or squeezing, you can stand up from prone as part of a move action, you automatically succeed on Acrobatics checks to balance, and you can pass through enemy occupied squares.","If you reach a streak, you recover the use of this power.",,,,,,,,
,Discipline,Cantrips,Chapter,,,,0,,,,,,,,,,,,,,,,Arcane,"Heir (crux), Magician (class), Cantrip Master (feat)","You have mastered minor magics.

**Note:** The Cantrips “discipline” is a collection of powers that can be selected by characters with the Cantrips feat. As such, it does not have a key or secondary ability.",,
,Discipline,Cantrips,Chill Spirit,,Utility,At-Will,Feature,"Arcane, Cold",Standard,Self,,,,,,,,"Use this power to accomplish one of the effects given below, or an equivalent with the GM’s approval. Continuing effects persist until the end of your next turn.
● Extinguish a flame no larger than one square or cool up to one square of a hot surface so that it can be safely touched.
● Freeze a gallon of water (other liquids may be affected at different volumes, at the GM’s discretion). This effect can be maintained on successive turns to affect larger bodies of water: it requires two turns to freeze one full square, and each subsequent turn increases the size of the affected area by burst 1.
● Create an ice cube in your hand (size dependent on ambient moisture), or give an enemy an uncomfortable and distracting freezer burn if used in combat. 
● Chill food to a desired temperature.",,,,,,,,Swift,"The effect persists until the end of your next turn. After you stop maintaining this power, things warm and ice melts out over time according to ambient conditions. "
,Discipline,Cantrips,Fiery Spirit,,Utility,At-Will,Feature,"Arcane, Fire",Standard,Self,,,,,,,,"Use this power to accomplish one of the effects given below, or an equivalent with the GM’s approval. Continuing effects persist until the end of your next turn.
● You can cajole, bully and bribe fire as if it were a person.
● You can heat things by concentrating on them.
● You can start a fire by clicking your fingers.
● You can burn small objects to provide yourself with sustenance.
● Light something easily flammable, such as gasoline, paper, or gunpowder.
● Boil a gallon of water (other liquids may be affected at different volumes, at the GM’s discretion). This effect can be maintained on successive turns to affect larger bodies of water: it requires two turns to boil one full square, and each subsequent turn increases the size of the affected area by burst 1.
● Create a flame in your hand. It can produce uncomfortable and distracting burns if used in combat but does not inflict any damage. 
● Cook food to a desired temperature.  ",,,,,,,,Swift,"The effect persists until the end of your next turn. After you stop maintaining this power, heat dissipates and fires burn out over time according to ambient conditions. "
,Discipline,Cantrips,Friendly Zephyr,,Utility,At-Will,Feature,"Air, Arcane",Standard,Ranged,20,,,,,,,"You may do to one target in the area one of the following:  
● Shunt a Tiny object 10 squares, a Small object 5 squares, a Medium object 2 squares or a Large object 1.
● Hear what a creature says this round as if you were standing right beside them.
● Moisten a creature, giving it resistance to fire 5 until the end of your next turn.  ",,,,,,,,Swift,Repeat the effect.
,Discipline,Cantrips,Ghost Sound,,Utility,At-Will,Feature,Illusion,Standard,Ranged ,"10, one object or empty square",,,,,,,"Create a sound that rises, recedes, approaches, or remains at a fixed place. You choose what type of sound when spending the standard action to create it. You must use another standard action to change the sound’s basic character. You can produce as much noise as a person. The noise can be virtually any type of sound within the volume limit. The noise persists until the end of your next turn.",,,,,,,,Swift,The effect persists until the end of your next turn.
,Discipline,Cantrips,Create Item,,Utility,Encounter,Feature,"Arcane, Conjuration",Standard,Self,,,,,,,,Create an item that costs 5 gp or less. It disappears after 24 hours.,,,,,,,,,
,Discipline,Cantrips,Glowing Moss,,Utility,Encounter,Feature,"Arcane, Zone",Swift,Special,,,,,,,,You and any zones you have created emit bright light in a burst X where X is your Intelligence modifier. ,,,,,,,,,
,Discipline,Cantrips,Telepathy,,Utility,Encounter,Feature,Arcane,Swift,Self,,,,,,,,You have telepathy 10 until the end of your next turn. ,,,,,,,,,
,Discipline,Cantrips,Buoyancy,,Utility,Daily,Feature,Arcane,Standard,Melee,"touch, one creature",,,,,,,Target ignores encumbrance until your next long rest.,,,,,,,,,
,Discipline,Cantrips,Double Dimension,,Utility,Daily,Feature,Arcane,Standard,Melee,"touch, one item",,,,,,,"You make an item two times longer, two times wider and two times deeper on the inside than it is on the outside, until your next long rest. At that point, if the contents of the item are too large to be contained by it, all the contents are emptied out of the item just beside it. ",,,,,,,,,
,Discipline,Cantrips,Sheltering Lamp,,Utility,Daily,Feature,"Arcane, Transmutation",Counter,Self,,"You are hit by an attack, or as a standard action at any time.",,,,,,"Spend a recovery. You take the form of a lamp, bottle or other small container. In this form you have your defenses, but cannot take any actions other than a swift action to end this power. The bottle has HP equal to your recovery value - minus whatever damage is done by the triggering attack, if any. If the bottle is destroyed, you take any excess damage yourself and appear in the space the bottle occupied. ",You can take a long rest while in lamp form. ,,,,,,,,
,Discipline,Cantrips,Stow,,Utility,Daily,Feature,Arcane,Swift,Melee,"touch, one item of your size or smaller",,,,,,,"An item you are holding disappears. It reappears in your hands the next time that you take a long rest. If you are reduced to 0 HP or below, it appears immediately in an unoccupied square adjacent to you. The item does not weigh anything while stowed. ",,,,,,,,,
,Discipline,Cup of Brimstone,Chapter,,,,0,,,,,,,,,,,,,,Charisma,Constitution,Arcane,"Magician (class), Conjures Fiends (kit)","You call on demonic forces for your attacks, and summon fiends to fight for you.

<figure><img src=""pics\JoyceMaureira_CGSPLASH.png"" alt=""Summoning by Joyce Maureira"" style=""zoom: 100%;"" /><figcaption>Summoning by Joyce Maureira</figcaption></figure>",,
,Discipline,Cup of Brimstone,Burn It Off,,Attack,At-Will,1,"Arcane, Fire, Focus",Standard,Ranged,"10, one enemy",,,Charisma,Fortitude,"1d8 + Charisma modifier fire damage.  
*Level 21:* 2d8 + Charisma modifier fire damage.",,You suffer a cumulative -1 penalty on attack rolls using this power for every previous time you have used it this encounter. ,You can use this power as a basic ranged attack. ,,,,,,,,
1,Discipline,Cup of Brimstone,Contagion,,Attack,At-Will,1,"Arcane, Focus, Poison",Reaction,Ranged,"10, the closest enemy to the triggering creature within range",,A creature you have Claimed is reduced to 0 HP or below.,Charisma,Fortitude,1d6 + Charisma modifier poison damage and you have a Dark Claim on the target.,,,,,,,,,,,
,Discipline,Cup of Brimstone,Stab in the Soul,,Attack,At-Will,1,"Arcane, Focus, Necrotic",Standard,Ranged,"10, one enemy",,,Charisma,Fortitude,"1d12 + Charisma modifier necrotic damage.  
*Level 21:* 2d12 + Charisma modifier necrotic damage. ",You take 1d6 damage.,,You can use this power as a basic ranged attack. ,,,,,,,,
,Discipline,Cup of Brimstone,Death Mark,,Attack,Encounter,1,"Arcane, Focus",Standard,Ranged,"10, one enemy",,,Charisma,Fortitude,1d8 + Charisma modifier necrotic damage and the target gains vulnerability to all damage 5 until the end of your next turn.,,,,,,,,,,,
,Discipline,Cup of Brimstone,Redoubled Misery,,Attack,Encounter,1,"Arcane, Focus",Reaction,Ranged,"10, one enemy",,The target fails a saving throw,Charisma,Fortitude,2d6 + Charisma modifier damage and they suffer a -2 penalty on saving throws until the end of your next turn. ,,,,,,,,,,,
,Discipline,Cup of Brimstone,Least Binding,,Attack,Daily,1,"Arcane, Focus, Summons",Standard,Ranged,"1, unoccupied square",,,,,,,You summon a Small demon toad or Small hopping imp until the end of the encounter.,,,,,,,,,
,Discipline,Cup of Brimstone,Perverse Blessing,,Utility,Daily,2,"Arcane, Stance",Swift,Self,,,,,,,,"You gain a +2 power bonus to defenses. If you are hit by an attack, you lose this bonus and instead get a -1 penalty to defenses. Until you leave this stance, you keep switching between bonus and penalty each time you are hit. ",,,,,,,,,
,Discipline,Cup of Brimstone,Everburn,,Attack,Encounter,3,"Arcane, Fire, Focus",Standard,Ranged,"10, one enemy",,,Charisma ,Fortitude,1d6 + Charisma modifier fire damage. The target takes persistent 5 fire damage and gains vulnerability to fire 5 (save ends both). ,,,,,,,,,,,
,Discipline,Cup of Brimstone,Minor Binding,,Attack,Daily,5,"Arcane, Focus, Summons",Standard,Ranged,"1, unoccupied square",,,,,,,"You summon a Medium burner demon or Medium hellhound until the end of the encounter. If you summon the hellhound, choose one enemy within 10 squares to become the hellhound’s quarry.",,,,,,,,,
,Discipline,Cup of Brimstone,Dance in Fire,,Utility,Daily,6,"Arcane, Fire, Stance",Swift,Self,,,,,,,,"When an enemy enters a square adjacent to you, it takes damage equal to your Intelligence modifier. ",,,,,,,,,
1,Discipline,Cup of Brimstone,Diseased Blood,,Attack,Encounter,7,"Acid, Arcane, Focus",Standard,Far,"blast 2 within range 10, all enemies",,,Charisma,Fortitude,1d8 + Charisma modifier acid damage and you have a Dark Claim on the target. ,,,,,,,,,,,
,Discipline,Cup of Brimstone,Mocking Curse,,Attack,Encounter,7,"Arcane, Focus, Psychic",Reaction,Ranged,"10, one enemy",,The target misses you with an attack,Charisma,Fortitude,1d10 + Charisma modifier psychic damage and the target is dazed until the end of your next turn. ,,,,,,,,,,,
,Discipline,Cup of Brimstone,Lesser Binding,,Attack,Daily,9,"Arcane, Focus, Summons",Standard,Ranged,"1, unoccupied square",,,,,,,"You summon a Large vulture demon, Medium hungry maw or Large hezrou until the end of the encounter. ",,,,,,,,,
,Discipline,Cup of Brimstone,Flaming Teleport,,Utility,Encounter,10,"Arcane, Teleportation",Swift,Self,,,,,,,,Teleport to an unoccupied space adjacent to a creature that is taking persistent fire damage. ,,,,,,,,,
,Discipline,Cup of Brimstone,Demonic Explosion,,Attack,Encounter,13,"Arcane, Fire, Focus",Reaction,Far,"burst 1 within special range, all creatures",,One of your summoned monsters is reduced to 0 HP or below.,Charisma,Fortitude,1d10 + Charisma modifier fire damage. ,,,The burst is centered on the triggering monster. ,,,,,,,,
,Discipline,Cup of Brimstone,Sadistic Shot,,Attack,Encounter,13,"Arcane, Fire, Focus",Standard,Ranged,"10, one enemy",,,Charisma,Fortitude,"2d8 + Charisma modifier damage, and you may spend a recovery to heal your recovery value in HP. ",,,,,,,,,,,
,Discipline,Cup of Brimstone,Prestige Binding,,Attack,Daily,15,"Arcane, Focus, Summons",Standard,Ranged,"1, unoccupied square",,,,,,,You summon a Large big burner until the end of the encounter. ,,,,,,,,,
,Discipline,Cup of Brimstone,Follow the Blood,,Utility,Encounter,16,"Arcane, Teleportation",Swift,Ranged,"10, one staggered creature",,,,,,,Teleport to an unoccupied space adjacent to the target.,,,,,,,,,
,Discipline,Cup of Brimstone,Abyssal Bargain,,Utility,Daily,16,"Arcane, Healing",Swift,Melee,"touch, one ally on 0 HP or below",,,,,,,The ally heals to maximum HP. You and the ally both have zero recoveries until the next long rest.,,,,,,,,,
,Discipline,Cup of Brimstone,Keep Burning Please,,Attack,Encounter,17,"Arcane, Fire, Focus",Reaction,Ranged,"10, one enemy",,The target makes a successful saving throw against persistent fire damage. ,Charisma,Fortitude,2d8 + Charisma modifier fire damage and persistent fire damage 10 (save ends). ,,,,,,,,,,,
,Discipline,Cup of Brimstone,Rabble Babble,,Attack,Encounter,17,"Arcane, Focus, Psychic",Standard,Far,"burst 1 within range 10, all enemies",,,Charisma,Fortitude,"1d10 + Charisma modifier psychic damage and the target is dazed until the end of your next turn.  
*Aftereffect:* The target takes damage equal to your Charisma modifier. ",,,,,,,,,,,
,Discipline,Cup of Brimstone,Advanced Binding,,Attack,Daily,19,"Arcane, Focus, Summons",Standard,Ranged,"1, unoccupied square",,,,,,,"You summon a Medium frenzy demon, Large boar demon or Huge pincer demon until the end of the encounter. ",,,,,,,,,
,Discipline,Cup of Brimstone,Golden Claw,,Utility,Daily,22,"Arcane, Conjuration, Fire",Swift,Self,,,,,,,,"You conjure a Medium golden claw in your space. The claw carries you, giving you a fly speed of 12 (hover, maximum altitude 2). If you are subject to an opportunity attack, make the following secondary attack against the attacker.
*Secondary Attack:* Charisma vs Fortitude; 3d6 + Charisma modifier fire damage. Then this power ends. ",,,,,,,,,
,Discipline,Cup of Brimstone,Carrion Screech,,Attack,Encounter,23,"Arcane, Focus, Psychic",Standard,Near,"blast 3, all enemies",,,Charisma,Fortitude,3d8 + Charisma modifier necrotic damage and the target gains vulnerability to all damage 10 (save ends). ,,,,,,,,,,,
1,Discipline,Cup of Brimstone,Spreading the Rot,,Attack,Encounter,23,"Arcane, Focus, Necrotic",Standard,Ranged,"10, one enemy",,,Charisma,Fortitude,"4d8 + Charisma modifier necrotic damage and the target takes 10 persistent necrotic damage (save ends).  
*Aftereffect:* The Claimed enemy of yours nearest the target takes 10 persistent necrotic damage (save ends). ",,,,,,,,,,,
,Discipline,Cup of Brimstone,Greater Binding,,Attack,Daily,25,"Arcane, Focus, Summons",Standard,Ranged,"1, unoccupied square",,,,,,,You summon a Large laughing demon until the end of the encounter. ,,,,,,,,,
,Discipline,Cup of Brimstone,Killing Doubt,,Attack,Encounter,27,"Arcane, Focus, Psychic",Standard,Ranged,"10, one enemy",,,Charisma,Fortitude,4d10 + Intelligence modifier psychic damage. The target’s next standard action must be a basic attack. ,,,,,,,,,,,
,Discipline,Cup of Brimstone,Ultimate Binding,,Attack,Daily,29,"Arcane, Focus, Summons",Standard,Ranged,"1, unoccupied square",,,,,,,You summon a Large balor or Large marilith until the end of the encounter. ,,,,,,,,,
,Discipline,"Deep, Dark, Truthful Mirror",Chapter,,,,0,,,,,,,,,,,,,,Constitution,Charisma,Arcane,Sculpts Their Body (kit),"You’re able to modify your body in ways not reflective of any animal. This includes the manipulation of your bone structure, your muscles, even altering your size and the position of your limbs.",,
,Discipline,"Deep, Dark, Truthful Mirror",Brief Mimicry,"You change your shape to look like another, throwing off those who see you.",Attack,At-Will,1,"Arcane, Focus, Transmutation",Move,Near,"burst 5, one enemy",,,Constitution,Will,"Until the end of your next turn, the target must make a saving throw each time they target you with an attack. If the save fails, they must target the attack so it does not affect you, or the attack fails. ",,"Until the end of your next turn, you take the form of a particular creature that is an ally of the target.",,,,,,,,,
,Discipline,"Deep, Dark, Truthful Mirror",Clay,"It’s like you’re made out of plastic, rubber, or some other kind of other flexible material.",Utility,At-Will,2,"Arcane, Transmutation",Move,Self,,,,,,,,You gain reach 1 until the start of your next turn.,,,,,,,,,
,Discipline,"Deep, Dark, Truthful Mirror",Squeeeeze,Your muscles can extend; your bones can slip from their sockets. You find yourself moving through places even a rodent would find difficult.,Utility,At-Will,2,"Arcane, Transmutation",Move,Self,,,,,,,,"Until the start of your next turn, you can squeeze without a reduction in speed. You suffer no penalties to attack, and do not grant combat advantage while squeezing. You are treated as a Small creature for purposes of squeezing into Tiny spaces.",,,,,,,,,
,Discipline,"Deep, Dark, Truthful Mirror",Bone Blade,"From beneath your skin, you extend a sharpened piece of bone which you can immediately employ as a weapon.",Utility,Encounter,2,"Arcane, Focus, Transmutation",Standard,Self,,,,,,,,You create a weapon of your choice. It can remain attached to your body or be detached so it can be thrown. The weapon is an enchanted weapon of the same bonus as the focus used for this power (if any). ,,,,,,,,,
,Discipline,"Deep, Dark, Truthful Mirror",Behemoth,You are able to change your basic biological makeup to make yourself extremely resistant to damage.,Utility,Daily,2,"Arcane, Transmutation",Standard,Self,,,,,,,,"Add double your Constitution modifier to your level. You gain that number of temporary hit points. Until you lose all these temporary hit points, your weight is doubled and you reduce any unwilling movement you are subject to by 1 square. ",,,,,,,,,
,Discipline,"Deep, Dark, Truthful Mirror",Bone Shield,You expand one of your arm’s bones to emerge as a shield to defend against attack. It doesn’t look pretty. It only has to work.,Utility,Daily,2,"Arcane, Focus, Transmutation",Standard,Self,,,,,,,,You create a light or heavy shield attached to your arm. You can dismiss the shield as a swift action. The shield is an enchanted shield of the same bonus as the focus used for this power (if any). ,,,,,,,,,
,Discipline,"Deep, Dark, Truthful Mirror",Theriophily,"You are no monster, and unlike others like you, fitting in has never been a real issue, especially when you can look like anyone.",Utility,Daily,2,"Arcane, Stance, Transmutation",Swift,Self,,,,,,,,"You can alter your physical form to take on the appearance of another humanoid creature of your size, including unique individuals. You retain your statistics in your new form, and your clothing, armor, and possessions do not change. Other creatures can attempt an Insight check (opposed by your Bluff check) to pierce the disguise. You must have seen the individual being imitated (as well as hear the individual if you wish to simulate the voice as well). ",,,,,,,,,
,Discipline,"Deep, Dark, Truthful Mirror",Perfect Harmony,"There is an old saying about making your weapon part of you. In this case, that’s easy.",Attack,Encounter,3,"Arcane, Transmutation",Swift,Self,,,,,,,,Your next melee or ranged attack roll with any weapon you create with a Transmutation power automatically hits (but cannot inflict critical hits).,,,,,,,,,
,Discipline,"Deep, Dark, Truthful Mirror",Metalform,You crystallize your skin to be resistant to any damage.,Utility,Encounter,6,"Arcane, Stance, Transmutation",Move,Self,,,,,,,,You gain resistance 5 to all damage.,,,,,,,,,
,Discipline,"Deep, Dark, Truthful Mirror",Enlarge,You increase in size.,Utility,Daily,10,"Arcane, Stance, Transmutation",Swift,Self,,,,,,,,You become a Large creature until you leave this stance. You get a +2 bonus on attack rolls. ,,,,,,,,,
,Discipline,"Deep, Dark, Truthful Mirror",Instinctive Shift,You change form without conscious thought.,Utility,Daily,10,"Arcane, Transmutation",Counter,Self,,,,,,,,"You can use a power with the Transmutation tag that normally takes a swift, move or standard action. This still counts as a use of the power for those that are limited in how often they can be used.",,,,,,,,,
,Discipline,"Deep, Dark, Truthful Mirror",Reduce,You shrink in size.,Utility,Daily,10,"Arcane, Stance, Transmutation",Swift,Self,,,,,,,,You become a Small creature until you leave this stance. You get a +2 bonus to AC and Reflex defense. ,,,,,,,,,
,Discipline,Elemental Flux,Chapter,,,,0,,,,,,,,,,,,,,Intelligence,Constitution,Arcane,Mageblade (class),"You supplement your attacks with powerful elemental energies. 

**Note:** When you first gain a power with the Flux tag, choose an element: lightning, acid, cold, fire or thunder. All powers with the Flux tag have that energy as a tag, and replace any reference to [flux] in the power text with that energy. There are some powers that allow you to change your Flux energy, if you take them. You can also change your Flux energy when you retrain at a new level. Some classes interact with Flux powers in other ways. 

When a power refers to [flux], it always means your current flux energy, even if you used the power when your flux energy was different. For example, if you conjured a vortex devil, it does damage of your current flux energy not the flux energy you had when you conjured it. 
<figure><img src=""pics\JoyceMaureira_SORCLIST3.png"" alt=""Sorcerer by Joyce Maureira"" style=""zoom: 100%;"" /><figcaption>Sorcerer by Joyce Maureira</figcaption></figure>",,
,Discipline,Elemental Flux,Energy Jolt,"You fill the opponent with harmful elemental energy, dealing damage and causing them to suffer debilitating effects.",Attack,At-Will,1,"Arcane, Flux, Weapon",Standard,Near,"burst 3, one target",,,Intelligence,Reflex,"1dW + Intelligence modifier [flux] damage, and the target:
● Acid: Takes a -2 penalty to AC until the end of your next turn.
● Cold: Is shunted 1.
● Fire: Loses their next move action.
● Lightning: Is pulled 2.
● Thunder: Is pushed 2.  
*Level 21:* 2dW + Intelligence modifier [flux] damage, and the additional effect.",,,,,,,,,,,
,Discipline,Elemental Flux,Spark Strike,"By letting the power of the elements flow through you and into your attack, you’re able to strike true with raw primal energies at your unlucky foe.",Attack,Encounter,1,"Arcane, Flux, Weapon",Standard,Melee or Ranged,"weapon, one target",,,Intelligence,AC,2dW + Intelligence modifier [flux] damage.,,,,,,,,,,,
,Discipline,Elemental Flux,Variable Flux,"Filling your weapon with the power of the elements, you lash out with barely-contained eldritch power.",Attack,Daily,1,"Arcane, Flux, Weapon",Standard,Melee or Ranged,"weapon, one target",,,Intelligence,AC,"1dW + Intelligence modifier [flux] damage, and the target is subject to one of the following until the end of your next turn.
● Acid: Slowed.
● Cold: Vulnerability to lightning and cold 5.
● Fire: Persistent fire damage equal to your Constitution modifier.
● Lightning: Rattled.
● Thunder: Dazed.  ","Half damage, and no additional effect.",,,,,,,,,,
,Discipline,Elemental Flux,Eldritch Shield,"By drawing upon the elements, you are capable of defending against energy effects.",Utility,Encounter,2,"Arcane, Flux",Counter,Self,,,You are about to take damage.,,,,,"You gain resistance to [flux] 5 + your Constitution modifier, for that attack.",,,,,,,,,
,Discipline,Elemental Flux,Fluctuation Movement,"Coating your feet in the power of the elements, you alter your movement to grant you a burst of speed and maneuverability. ",Utility,Encounter,2,"Arcane, Flux, Stance",Swift,Self,,,,,,,,"You get a benefit based on your [flux]:
● Acid: Ignore difficult terrain until the end of your next turn.
● Cold: Until the end of your next turn, when you charge you can move however you like (not just in a straight line).
● Fire: Your speed increases by +2 until the end of your next turn.
● Lightning: Make a jump as a free action, with a +10 bonus to Athletics.
● Thunder: Until the end of your next turn, whenever you are subject to unwilling movement you can shift 1 at the end of the move. ",,,,,,,,,
,Discipline,Elemental Flux,Arcane Shield,You rely on your unique insight into eldritch powers to create a shield of energy that protects you from an attack. ,Utility,Daily,2,Arcane,Counter,,,,You are hit by an attack.,,,,,Attacker rerolls their attack.,,,,,,,,,
,Discipline,Elemental Flux,Degrade Resistance,"As a disciple of the Elemental Flux, you understand how to use elements to assault those normally resistant to them.",Utility,Daily,2,Arcane,Swift,,,,,,,,,"Until the end of your next turn, your attacks ignore the first 5 points of energy resistance.",,,,,,,,Swift,The effect persists until the end of your next turn.
,Discipline,Elemental Flux,Elemental Nimbus,Channeling the strength of the elements lends your attacks strength and fury. ,Utility,Daily,2,"Arcane, Flux",Swift,Self,,,,,,,,"Each attack you make until the end of your next turn turn inflicts +1d6 [flux] damage on a hit. You can choose to daze a target that you hit until the end of your next turn, but then this power ends.",,,,,,,,Swift,The effect persists until the end of your next turn.
,Discipline,Elemental Flux,Elemental Realignment,,Utility,Daily,2,"Arcane, Flux",Swift,Self,,,,,,,,Change your Flux energy. You gain resistance to [flux] 5 + your Constitution modifier until the end of the encounter. ,,,,,,,,,
,Discipline,Elemental Flux,Eldritch Fang,You fill your strike with eldritch energy that overwhelms the senses of your target. ,Attack,Encounter,3,"Arcane, Flux, Weapon",Standard,Melee or Ranged,"weapon, one target",,,Intelligence,Fortitude,1dW + Intelligence modifier [flux] damage and the target is dazed until the end of your next turn.,,,,,,,,,,,
,Discipline,Elemental Flux,Elemental Strike,You channel the fluctuating power of the elements to land an empowered blow.,Attack,Daily,5,"Arcane, Flux, Weapon",Standard,Melee or Ranged,"weapon, one target",,,Intelligence,Fortitude,"2dW + Intelligence modifier [flux] damage, and the target is subject to one of the following based on your flux energy.
● Acid: Weakened (end of your next turn).
● Thunder: Immobile (end of your next turn).
● Fire: Blinded (end of your next turn).
● Cold: Knocked prone.
● Lightning: Dazed (end of your next turn).  ","Half damage, and no additional effect.",,,,,,,,,,
,Discipline,Elemental Flux,Energy Spark,"You fill the air with elemental energy, which explodes as you strike your target. ",Attack,Daily,5,"Arcane, Flux, Focus",Standard,Ranged,10,,,Intelligence,Reflex,4d10 + Intelligence modifier [flux] damage,,,,,,,,,,,
,Discipline,Elemental Flux,Elemental Flux Stance,"Filling both your body and soul with the power of the elements, you open yourself up to new powers. ",Utility,Daily,6,"Arcane, Flux, Stance",Swift,Near,"burst 3, all allies",,,,,,,"Yourself and allies within range get one based on your [flux], until the end of your next turn:
● Acid: Ignore the first 1 square of unwilling movement.
● Cold: Take a +2 bonus on all saving throws.
● Fire: Heal an additional +1d6 damage each time they would heal.
● Lightning: +2 bonus to speed.
● Thunder: One hit on an attack per turn pushes 1.  ",,,,,,,,,
,Discipline,Elemental Flux,Lance of Power,"With a swing of your blade, you release a rippling line of elemental energy. ",Attack,Encounter,7,"Arcane, Flux, Weapon",Standard,Near,"arc 3, all creatures",,,Intelligence,Fortitude,"1dW + Intelligence modifier [flux] damage and one option based on your flux energy:
● Acid: Targets are slowed.  
● Cold: Targets must save or fall prone.
● Fire: Take an additional 1d8 damage.
● Lightning: Targets must save or drop what they are holding.
● Thunder: Targets are deafened until the end of your next turn.",,,,,,,,,,,
,Discipline,Elemental Flux,Raging Flux,You know how to strike with such eldritch force that it drives your foes backwards. ,Attack,Daily,9,"Arcane, Flux, Weapon, Zone",Standard,Far,"burst 3 within range 10, all creatures",,,Intelligence,Fortitude,3dW + Intelligence modifier [flux] damage.,,"Creates a zone in the area of effect, until the end of the encounter. Creatures that enter the zone take 1d6 + Intelligence modifier [flux] damage. At the beginning of each of your turns, creatures in the zone take 1d6 + your Intelligence modifier [flux] damage. While the zone persists, you can change your flux energy once each time a creature is damaged by your *raging flux*. ",,,,,,,,,
,Discipline,Elemental Flux,Assay Resistance,"By directly targeting the elemental essence that suffuses all creatures, you overcome an opponent’s defenses with a powerful attack.",Utility,Encounter,10,"Arcane, Flux",Swift,Near,"burst 5, one creature",,,,,,,"You learn the target’s resistances, immunities and vulnerabilities. Until the end of your next turn, the target gains vulnerability to [flux] 5 + your Constitution modifier. ",,**Level 22** Targets all creatures in area of effect; the target gains vulnerability to [flux] 10 + your Constitution modifier. ,,,,,,,
,Discipline,Elemental Flux,Arcane Torrent,You unleash a sudden burst of eldritch energy that surges towards a distant foe.,Attack,Encounter,13,"Arcane, Flux, Weapon",Standard,Near,"arc 3, all creatures",,,Intelligence,Fortitude,2dW + Intelligence modifier [flux] damage and push 3.,,,,,,,,,,,
,Discipline,Elemental Flux,Energy Hammer,"As you advance your training, you learn to unleash ever more powerful bursts of energy.",Attack,Daily,15,"Arcane, Flux, Weapon",Standard,Near,"arc 3, all creatures",,,Intelligence,AC,"2dW + Intelligence modifier [flux] damage and one of the following based on your [flux]: 
● Acid: Target takes 5 persistent acid damage (save ends).
● Cold: Target is immobile (save ends).
● Fire: Target is blinded (save ends). 
● Lightning: Target is stunned until the end of your next turn.  
● Thunder: Target is deafened and dazed (save ends both).","Half damage, and no additional effect.",,,,,,,,,,
