Name,Level,Type,Category,Skill,Completion Time,Components,Cost to Learn,Duration,Description
Speak with Plants,5,Divination,Incantation,Nature,1 hour,40 gp,40 gp,8 hours,"You imbue plants within 6 squares of you with limited sentience and animation, giving them the ability to communicate with you and follow your simple commands. You can question plants about events within 6 squares within the past day, gaining information about creatures that have passed, weather, and other circumstances.  

You can also turn difficult terrain caused by plant growth (such as thickets and undergrowth) into ordinary terrain that lasts for the duration. Or you can turn ordinary terrain where plants are present into difficult terrain that lasts for the duration, causing vines and branches to hinder pursuers, for example.  

Plants might be able to perform other tasks on your behalf, at the GM’s discretion. The incantation doesn’t enable plants to uproot themselves and move about, but they can freely move branches, tendrils, and stalks.  

If a plant creature is in the area, you can communicate with it as if you shared a common language, but you gain no magical ability to influence it.  "
Express Rider,6,Interaction,Practice,Nature,1 minute,1 recovery,72 gp,One day,"You know how to encourage your mount to cover ground quickly. When calculating your travel speed for the day while mounted, you can attempt a Nature check increase your mount’s travel speed. The DC is determined by the GM, but is typically based on the mount’s level or the difficulty of the environment, whichever is harder. On a success, increase your mount’s travel speed by half. This has no effect on your mount’s movement in encounters."
Consult Nature,9,Divination,Incantation,Nature,1 hour,168 gp,168 gp,Instantaneous,"You briefly become one with nature and gain knowledge of the surrounding territory. In the outdoors, the incantation gives you knowledge of the land within 3 miles of you. In caves and other natural underground settings, the radius is limited to 60 squares. The incantation doesn’t function where nature has been replaced by construction, such as in dungeons and towns.  

You instantly gain knowledge of one fact of your choice about any of the following subjects as they relate to the area:  

- terrain and bodies of water  
- prevalent plants, minerals, animals, or peoples  
- powerful celestials, fey, fiends, elementals, or undead  
- influence from other planes of existence  
- buildings  

For example, you could determine the location of powerful undead in the area, the location of major sources of safe drinking water, and the location of any nearby towns.  

**Nature check:** With a DC 18 Nature check, you gain knowledge of three facts of your choice, or one fact from outside the subject areas specified. "
Chapter,0,,,None,,,,,
Alchemy,1,Schema,Practice,None,1 hour,*,*,Instantaneous,"Each potion and alchemical item has its own schema, which a character can learn after studying another of the same variety for 1 hour, or from scratch with 8 hours. The cost to learn equals the cost of a consumable item of the level of the potion or alchemical item. The component cost to make one of those items equals the cost to buy the item.

You cannot learn the schema of an item of a level higher than your own."
Poisoncraft,1,Schema,Practice,None,1 hour,*,*,Instantaneous,"Each poison has its own schema, which a character can learn after studying another of the same variety for 1 hour, or from scratch with 8 hours. The cost to learn equals the cost of a masterwork consumable item of the level of the poison. The component cost to make one of those items equals the cost to buy the item.

You cannot learn the schema of an item of a level higher than your own."
Cobble Together,2,Schema,Practice,None,10 minutes,1 recovery,21 gp,1 day,"You improvise any item that costs 50 gp or less. After one day, the item falls apart."
Craft Enchanted Items,2,Schema,Practice,None,1 week,*,*,Instantaneous,"Each enchanted item boost (*dragonbane* weapon, *dismissal* focus, *amulet of shielding*, etc.) has its own schema, which a character can learn after studying another of the same variety for 1 hour, or from scratch with 8 hours. The cost to learn equals the cost of a consumable item of the level of a +1 item with that boost. The component cost to make one of those magic items equal the cost to buy the item. If an existing enchanted item is consumed during the crafting process, deduct its cost from the component cost. 

You cannot learn the schema of an item of a level higher than your own."
Craft Wondrous Items,2,Schema,Practice,None,1 week,*,*,Instantaneous,"Each wondrous item has its own schema, which a character can learn after studying another of the same variety for 1 hour, or from scratch with 8 hours. The cost to learn equals the cost of a consumable item of the level of the wondrous item. The component cost to make one of those wondrous items equal the cost to buy the item. If an existing wondrous item is consumed during the crafting process, deduct its cost from the component cost. 

You cannot learn the schema of an item of a level higher than your own."
Brilliant Planner,5,Schema,Practice,None,8 hours,*,40 gp,Permanent,"You can prepare for future contingencies without defining what those preparations are until they are relevant. This practice requires you to be in a settlement. Spend up to 50 gp per character level, which becomes your brilliant plan fund. While you have a brilliant plan pending, you are always treated as carrying 20 additional pounds of weight, even before you define your brilliant plan.

Once per day, you can take 10 minutes to enact a brilliant plan, withdrawing an item that would have been available in a settlement you visited or procuring a mundane service that your character planned ahead of time. Once you enact the plan, subtract the price of the item or service from the fund. Any item procured must weigh 10 pounds or less. Likewise, the GM must approve any non-magical service you gain by using your fund as being appropriate for the location selected.

Once you have spent all the money in your brilliant plan fund or procured 20 pounds of objects, you must use the practice again to replenish your brilliant plan fund."
Chapter,0,,,Religion,,,,,
Detect Otherworldly,1,Divination,Incantation,Religion,10 minutes,14 gp,14 gp,10 minutes,"For the duration, you know if there is a creature of the cosmic, elemental, fey, outsider or shadow source or with the celestial, demon, devil or undead tags within 6 squares of you, as well as where the creature is located. Similarly, you know if there is a place or object within 6 squares of you that has been magically consecrated or desecrated.

The incantation can penetrate most barriers, but it is blocked by 1 foot of stone, 1 inch of common metal, a thin sheet of lead, or 3 feet of wood or dirt."
Witness an Oath,1,Practical,Incantation,Religion,1 hour,1 recovery,14 gp,Instantaneous,"You swear an oath or bear witness to one sworn by another. 

To swear an oath, the subject names—very specifically—a task they will accomplish in no more than one year’s time. If the task is not completed in that time, or if conditions arise that indicate the failure of the oath, they lose all recoveries, and cannot regain them for a month. 

The oath-swearer cannot be tricked into thinking an oath is fulfilled when it is not, and no magical compulsion can force them to stop attempting to fulfill it. 

Oaths can be singular tasks (destroy the Dark Tower) or ongoing (keep King Dari alive). Ongoing oaths can be renewed at the end of each year. An oath must be something measurable, so the character knows whether it has been fulfilled. 

The oath-swearer receive a +2 power bonus on skill checks while working towards their oath, and a +2 power bonus to defenses against attacks that would directly stop them from working towards their oath."
Augury,3,Divination,Incantation,Religion,1 hour,Specially marked sticks (27 gp),27 gp,Instantaneous,"By casting gem-inlaid sticks, rolling dragon bones, laying out ornate cards, or employing some other divining tool, you receive an omen from an otherworldly entity about the results of a specific course of action that you plan to take within the next 30 minutes. The GM chooses from the following possible omens:  

- *Weal*, for good results  
- *Woe*, for bad results  
- *Weal and woe*, for both good and bad results  
- *Nothing*, for results that aren’t especially good or bad  

The incantation doesn’t take into account any possible circumstances that might change the outcome.  

If you cast the incantation two or more times before completing your next long rest, there is a cumulative 25 percent chance for each casting after the first that you get a random reading. The GM makes this roll in secret.  "
Remove Curse,5,Curative,Incantation,Religion,1 hour,80 gp,40 gp,Instantaneous,"At your touch, all curses of your level or lower (or no level) affecting one creature or object end. If the object is a cursed magic item, its curse remains, but the incantation breaks its owner’s attunement to the object so it can be removed or discarded.  

**Religion check:** With a successful Religion check (moderate DC based on the curse’s level), you can remove curses of a level higher than your own. "
Speak with the Departed,5,Divination,Incantation,Religion,1 hour,Burning incense (40 gp),40 gp,10 minutes,"You grant the semblance of life and intelligence to a corpse of your choice within range, allowing it to answer the questions you pose. The corpse must still have a mouth and can’t be undead. The incantation fails if the corpse was the target of this incantation within the last 10 days.  

Until the incantation ends, you can ask the corpse a question. The corpse knows only what it knew in life, including the languages it knew. Answers are usually brief, cryptic, or repetitive, and the corpse is under no compulsion to offer a truthful answer if you are hostile to it or it recognizes you as an enemy. This incantation doesn’t return the creature’s soul to its body, only its animating spirit. Thus, the corpse can’t learn new information, doesn’t comprehend anything that has happened since it died, and can’t speculate about future events.  

**Religion check:** With a DC 15 Religion check, you can ask up to five questions. "
Commune,9,Divination,Incantation,Religion,1 hour,Incense and a vial of holy or unholy water (168 gp),168 gp,1 hour,"You contact a divine proxy and ask up to three questions that can be answered with a yes or no. You must ask your questions before the incantation ends. You receive a correct answer for each question.  

Divine beings aren’t necessarily omniscient, so you might receive “unclear” as an answer if a question pertains to information that lies beyond the deity’s knowledge.

**Religion check:** With a DC 18 Religion check, you contact a more powerful entity aligned strongly with your interests, possibly even your deity. The entity won’t attempt to deceive you, though it still might not know the answers. When it’s important to provide clarity, the entity will answer your questions with up to five words, such as “If you leave immediately” or “That was true once.”"
Prescient Divination,9,Divination,Incantation,Religion,1 hour,Incense and a sacrificial offering appropriate to your religion (168 gp),168 gp,Instantaneous,"Your magic and an offering put you in contact with a god or a god’s servants. You ask a single question concerning a specific goal, event, or activity to occur within 7 days. The GM offers a truthful reply. The reply might be a short phrase, a cryptic rhyme, or an omen.  

The incantation doesn’t take into account any possible circumstances that might change the outcome.  

**Religion check:** With a DC 18 Religion check, the answer is less cryptic than it otherwise would have been. "
Forbid Intrusion  ,11,Abjuration,Incantation,Religion,1 hour,"A sprinkling of holy water, rare incense, and powdered ruby (360 gp)",360 gp,1 day,"You create a ward against magical travel that protects up to 1,600 squares of floor space to a height of 6 squares above the floor. For the duration, creatures can’t teleport into the area or use portals to enter the area. The incantation proofs the area against planar travel, and therefore prevents creatures from accessing the area by way of the Astral Plane, Ethereal Plane, Plane of Faerie, Plane of Shadow, or the *plane walk* incantation.  

In addition, the incantation damages types of creatures that you choose when you cast it. Choose one or more of the following tags: air, celestial, cold, demon, devil, earth, fire, water or undead. When a creature with that tag enters the incantation’s area for the first time on a turn or starts its turn there, the creature takes 5d10 radiant or necrotic damage (your choice when you cast this incantation).  

When you cast this incantation, you can designate a password. A creature that speaks the password as it enters the area takes no damage from the incantation.  

The incantation’s area can’t overlap with the area of another *forbid intrusion* incantation. If you cast *forbid intrusion* every day for 7 days in the same location, the incantation lasts until it is dispelled.  "
Geas,11,Practical,Incantation,Religion,1 hour,1 recovery (until effect ends),360 gp,One day / level or until discharged,"A *geas* places a command on a creature to carry out some service or to refrain from some action or course of activity, as desired by you. The creature must be of your level or lower and be able to understand you. While a geas cannot compel a creature to kill itself or perform acts that would result in certain death, it can cause almost any other course of activity.

The geased creature must follow the given instructions until the geas is completed, no matter how long it takes.

If the instructions involve some open-ended task that the recipient cannot complete through his own actions the craft remains in effect for a maximum of one day per level you have. A clever recipient can subvert some instructions.

If the subject is prevented from obeying the *geas* for 24 hours, it loses one recovery. It cannot regain this recovery while the geas remains.

**Religion check:** With a moderate DC Religion check (based on the level of the target), you can target a creature of level higher than your own. "
Restore Revenant,11,Curative,Incantation,Religion,8 hours,Incense (360 gp),360 gp,Instantaneous,"The target of the incantation is brought back to life, with the Revenant bond. Make a Religion check. The result determines what starting Favor the target begins with. *Religion result 10 or less:* -3 Favor. *Religion result 11-15:* 0 Favor. *Religion result 16-20:* 5 Favor. *Religion result 21-25:* 10 Favor. *Religion result 26 or more:* 15 Favor. "
Fires of the Abyss,21,Conjuration,Incantation,Religion,2 hours,Rare unguents and dark alchemical concoctions (360 gp),360 gp,8 hours,"This incantation, dreamed up by cultists, opens a fell rift between the current location and a fiery layer of the Abyss. This rift brings about a massive conflagration that destroys almost everything in the immediate area, then releases a powerful demon who capers over the smoldering ruins and begins to rampage across the countryside. The *fires of the Abyss* ignite everything they touch—except for the caster, who is knocked unconscious and transported to a layer of the Abyss.  

When the incantation is complete, the *fires of the Abyss* erupt from the caster’s former location.

*Attack:* Near burst 16; +26 vs Reflex; on a hit, the target takes 18d6 fire damage. On a miss, the target takes half damage. Either way, everything flammable in the burst is lit on fire.  

*Secondary Effect:* At initiative count 20 on the following round, a balor comes through the rift, which then closes. The balor begins to destroy everything in sight."
Chapter,0,,,Sleight of Hand,,,,,
Craft Trap,1,Schema,Practice,Sleight of Hand,1 hour,*,*,Instantaneous,"Each trap has its own schema, which a character can learn after studying a trap for 1 hour, or from scratch with 8 hours. The cost to learn equals the cost of a consumable item of the trap’s level. The component cost to make one of those traps depends on the type of trap: start with the cost of a consumable item of the trap's level and halve it for a one-off trap and double it for a recurring trap. Hazards use the cost of a consumable item of the trap’s level. "
Chapter,0,,,Stealth,,,,,
Foil Senses,1,Trick,Practice,Stealth,10 minutes,14 gp,14 gp,10 minutes,"You make it impossible for a creature that is tracking you or searching for you to use one of its special senses, like scent or tremorsense, for 8 hours. "
Chapter,0,,,Streetsmarts,,,,,
Carouse,1,Interaction,Practice,Streetsmarts,4 hours,14 gp in shouted drinks,14 gp,Instantaneous,"You cope through drink and revelry, and have mastered both. You can gain the benefits of a long rest by spending 4 hours drinking, carousing, and taking the occasional blackout nap. You can carouse in this way so long as you consume at least 4 pints’ worth of ale (or equivalent drink), and you are alert and aware of your surroundings while doing so. 

If you carouse with another creature in this way, you can attempt to learn secrets from it by drinking it under the table. Each hour you spend carousing with a willing creature, make an Endure check vs the target’s Fortitude. On a success, that creature answers a question truthfully (even questions it would not normally answer)."
Shady Connections,2,Interaction,Practice,Streetsmarts,1 hour,21 gp,21 gp,Instantaneous,"You have dealings with a variety of unsavory characters, which you can leverage to trade favors or meet powerful people. When you’re in an area where you have connections (typically a settlement where you’ve spent downtime building connections or possibly another area in the same nation), you can arrange a meeting with an important criminal, such as a thieves’ guild leader, or ask for a favor in exchange for a later favor of your contact’s choice. "
Sow Rumor,2,Interaction,Practice,Streetsmarts,2 hours,"42 gp in shouted drinks, bribed journalists or the like",21 gp,Instantaneous,"You spread rumors, which may or may not be true, about a specific subject. If the subject of your rumor is not currently the subject of any contradictory rumors, this typically takes 2 hours, at the end of which you make a Streetsmarts check to see how well you spread the rumor. If your rumor matches any current rumors about the subject, it takes less time to spread the rumor, and if you are attempting to overtake a particularly popular and contradictory rumor, it takes much longer or may be impossible. The DC similarly increases or decreases depending on how plausible your rumor is. If you succeed, you successfully spread the rumor. If you fail, your rumor dies off. If you fail by 10 or more, a rumor spreads about someone trying to spread false rumors about the subject."
Party Crasher,7,Interaction,Practice,Streetsmarts,2 hours,104 gp,104 gp,Instantaneous,"Any time you encounter a social event you would ordinarily be denied access to, such as a coronation, royal gala, or other society function, you can secure entry without the need for a skill check. You find invitations, invitees looking for fashionable dates, temporary jobs with the caterers, event staff willing to look the other way, or some other mode of access for yourself and your allies. This ability doesn’t apply to secret events or other small private gatherings with no staff, dates, or outsiders involved."
Safe House,11,Trick,Practice,Streetsmarts,1 week,720 gp,360 gp,Instantaneous,"You establish a safe house—a secure space in which to hide your secrets from the outside world. This safe house is roughly the size of a 10-foot cube. It’s in a location you have access to, and it can be part of a larger building or structure, like a hidden room or an underground cave. The safe house protects objects and people inside it from magical detection. Setting up or moving your safe house takes a week of downtime. The size of the safe house expands by one 10-foot cube each time you use this craft."
